id,title,description
11,Advertising Broadcast Producer,"An advertising broadcast producer helps create commercials and public service announcements that television and radio stations will broadcast. The producer is typically in charge of most of what goes on behind the scenes in creating these spots, with the amount of responsibility delegated to this position depending on the position and size of the media outlet. In smaller outlets, the producer may help write and edit copy, set up and record all audio and visual pieces, edit them, complete post-production work on levels, and add screen graphics. Larger media outlets may have dedicated employees to take perform some of these tasks, but it is still likely that the broadcast producer will play some part in each of those aspects as the overall manager of the project.
Because most commercials to be aired are either sent from larger networks for contractual broadcast obligations or created in-house by entities that wish to air a commercial, the advertising broadcast producer's job typically revolves around helping create advertisements for the media outlet and its programs. Smaller advertising accounts may also turn to the broadcast provider to help them create advertising or public service announcements as well. 
In any case, the advertising broadcast producer helps prepare and review all written copy, set lighting and sound levels, and checks for any distractions (such as the hum of air-conditioners, or glare off an actor's glasses). The producer helps with or supervises editing after active recording is complete, and then ensures that post-production conforms with quality and standards for commercials normally aired on the station.
To work as an advertising broadcast producer, a person must typically have a bachelor's degree in communications, journalism, or a related discipline, typically with an emphasis on production and editing work. The broadcast producer typically either starts at smaller media markets and gains practical experience that way, or they work as a production assistant at a larger outlet first. Advertising broadcast producers typically work in studios, normally during regular business hours.
"
12,Senior Copywriter,"A senior copywriter works in an company to generate original written content, usually to advertise, promote, or educated a consumer base about that organization’s goods or services. Normally, this position exists inside an established creative department, and the copywriter generates written promotional copy to be used in advertisements across a variety of media. The copywriter may work at an outside advertising agency that requires constant original copy generation across a variety of fields for different clients.
The senior copywriter is expected to analyze the needs of his or her company (or, if working for an outside agency, the needs of clients) for the goods or services being promoted. They are then expected to generate extensive amounts of original, concise, and memorable written copy to advertise these goods and services. They must be able to tailor their copy by client, expected audience, and format. Their work usually must also take advantage of standard search engine optimization techniques in the advertising field.
A senior copywriter usually must have extensive prior experience in the field as a junior copywriter with smaller responsibilities. The senior copywriter’s education requirements normally include a bachelor's degree in English, creative writing, communications, or a related field. 
Persons in this position normally work regular office hours. They must be able to think quickly and have excellent written communication skills, as well as a comprehensive knowledge ofvarious style guidelines. Strong computer familiarity and fast typing skills are a must for persons in this position
"
13,Social Media Strategist,"A social media strategist holds a marketing position, generally within a medium- or large-sized company. They create social media marketing strategies that are carried out on platforms such as Facebook, Instagram, Google+, and Twitter. The social media strategist must develop promotions to gain new customers and retain current customers, which requires creating regular posts for various platforms and (often) interacting with customers in a professional manner on those platforms. When customers ask questions, the strategist typically provide answers directly; when the answer is not readily available, the strategist must research and/or coordinate with appropriate parties within the company to promptly determine an appropriate response.
Additionally, social media strategists may be in charge of creating and coordinating advertisements to be displayed on social media websites. They may also reach out to bloggers to ask them to create posts promoting their organization and its products; therefore, the social media strategist must be able to create and maintain relationships with bloggers. Computer skills are also usually needed, as the social media strategist must successfully use social media platforms and perform analytics to analyze the efficiency of current marketing campaigns. The ability to produce reports and present information internally may also be necessary. Additionally, the social media strategist needs to collaborate with managers and other colleagues to create and improve social media strategies.
Previous social media experience is generally required for this role, and a bachelor's degree may be required or preferred. This is often a full-time position, though some part-time positions may be available; some teleworking may be permitted.
"
14, Public Relations (PR) Manager,"The public relations manager is a position sought after by various companies in many industries, which range from hotels to food manufacturing. Most companies are seeking an applicant with a bachelor's degree in public relations, communications, or a similar discipline. The ideal applicant should have at least five years of experience, in addition to having a few years of relevant experience. The public relations manager will not be doing an extensive amount of traveling, but there is the possibility that some companies will include minor traveling for training or event attendance.
The public relations manager will be primarily responsible for maintaining and improving the public eye's view of the organization. They will formulate and execute a variety of campaigns and programs to boost awareness about their employer. The public relations manager will train internal staff, work with other departments to ensure the content is accurate, and measure the success of various campaigns to determine their efficiency. They may be required to manage social media for the company, as well as represent the company in front of various media groups. 
The public relations manager will closely work with managers, creative writers, artists, and other resources to ensure that a positive opinion of the company is maintained. The public relations manager reports to department heads and/or executives.
"
15,Account Supervisor,"An account supervisor merges customer service and marketing skills. They make sure that each client account is receives the best or most appropriate products for his or her situation. They must also ensure clients are offered new options, services, and promotions as they become available; on an overall basis, they must also make sure that all options offered - and the company - are represented in a positive light to clients.
The account supervisor must stay up to date on the services offered by the company; for that reason, they may work often with other departments to receive new information and communicate client needs to these teams as they arise. The ability to handle client problems is essential, and so the account supervisor must have excellent conflict resolution, negotiation and communication skills. Communication skills are also essential with internal partners, as the account supervisor often must create and present reports to executives and managers on trends or large individual accounts.
Strong experience and education in marketing is required for this position, and a bachelor's degree in marketing is often needed as well. At least five years' experience in a similar position is also generally required, with some positions looking for 10 or more years of related experience. Strong attention to detail and organizational skills are also helpful.
"
16,Web Producer,"A web producer is primarily responsible for coordinating, managing, and updating content on a high-traffic website. This person can work either as a contract employee or within a business. It is generally required that a web producer has at least a bachelor’s degree in a field relevant to the company they work for, as well as at least three years of relevant experience. Extensive knowledge of HTML, web design, Photoshop, and CSS are typically essential. A web producer typically works in an office environment; however, there are some who work from a home office. While web producers generally work during regular office hours, some jobs require alternative or more flexible hours.
A web producer is responsible for: creating, updating, and maintaining web content, as well as monitoring content and troubleshooting problems on the website. This person must ensure content is consistent with the organizational vision and style guide, and they must develop strategies to make sure content is engaging and dynamic. Web producers typically hold a leadership position and are responsible for serving as a liaison between business and technology groups, managing content reviews and audits, producing and maintaining accurate reports and logs of changes, and implementing and scheduling promotions. They are also responsible for scheduling email campaigns, tracking results, following up on issues, and managing image and logo rights and usage. 
A web producer should possess excellent communication, leadership, and critical thinking skills. They typically work with a team of various marketing personnel, technical staff, vendors, and graphic designers, and they may be considered the primary point of contact among these individuals.
"
17, Media Supervisor,"The media supervisor typically oversees all media-related assignments within an organization. This includes developing and implementing media campaigns and marketing plans (which may include print, broadcast, and Internet campaigns). Media supervisors must have the ability to oversee a media project from creation to completion, as well as work cooperatively with supervisors and colleagues within their organization.
They also work closely with individual clients, developing media marketing plans specific to clients' requirements and presenting the campaign to clients in a timely, coherent, and professional manner. The media supervisor is also responsible for organizing a cooperative team within the organization, delegating assignments to team members and ensuring their work is completed within deadlines. In addition, these supervisors are also responsible for scheduling meetings with clients and partners, as well as orchestrating media-related training for staff as necessary.
A bachelor's degree and related experience are generally required for media supervisor positions. Media supervisors must be proficient with basic computer programs such as the Microsoft Office suite, as well as be able to work in a team setting and independently with minimal supervision. They also need to be detail-oriented, work well within deadlines, and be organized.
"
18,News Anchor,"News anchors generally are responsible for presenting local, national and/or world news to the public. They generally work in a studio to produce TV or radio news programs, although they sometimes report or anchor programs from the scene of the broadcast's subject. The news anchor often reads compiled news stories from a teleprompter, as well as conducts on-air interviews with the subjects of news, experts and reporter colleagues as needed. They also react to breaking news as it emerges, presenting information to the viewing or listening public as it becomes available. Additionally, news anchors help make editorial decisions about which stories to air and how they should be presented. The anchor may also report stories themselves, performing such tasks as conducting interviews, obtaining video and audio to use in broadcast, researching relevant information, and using computer software to edit audio and/or video gathered through the course of reporting.
Most organizations require at least a bachelor’s degree in broadcast journalism or a related field for news anchor positions. Previous journalism experience, often as a television or radio news reporter, is generally needed as well. News anchors must have a clear speaking voice and be able to read news smoothly off of a teleprompter, computer or paper. Additionally, anchors should be knowledgeable about current events and news relevant to their employer's area of coverage; in cases where the anchor also reports, they must have excellent reporting skills and the ability to use any necessary video and/or audio editing equipment.
"
19,Managing Editor,"Managing editors work primarily in the publication field and are responsible for overseeing publishing from start to finish. This position may require at least seven years of experience and a bachelor's degree in English, writing, or journalism, and these directors are also responsible for overseeing a collective group of writers (professional, freelance, or both) for specific publications such as magazines or newspapers.
Managing editors are responsible for reviewing all work submitted by writers and approving or rejecting it as necessary. In addition to supervision, they are also responsible for various tasks within the office, such as regular operations not related to content. Important skills for this position include creativity, problem-solving, leadership, and communication skills to work well with writers and advertisers, and they typically work with almost everyone in the publications office, including writers and other editors.
Managing editors often report to a higher-level director, and they occasionally participate in advertising pitches and work with advertisers to represent them in their publications. They may also be looked upon as leaders in the office and participate in internal issues and decisions, such as hiring and firing employees or resolving internal conflicts. 
"
20,Public Information Officer,"A public information officer is generally employed within a government agency, and this person is primarily responsible for maintaining positive public relations between the government and the citizens. This position will typically work within an office type of environment. However, light travel is often required. This can be a part-time position for smaller agencies and governments. Oftentimes, the hours required of this person can be during evenings and weekends. This person will typically work independently but will report to the city manager, mayor, or other head of government. A public information officer should typically hold a bachelor’s degree in a field such as journalism, public relations, marketing, or communications.
A public information officer may be referred to as a public relations specialist, and will have a variety of job duties. Some are dependent on their government, which generally include acting as a representative of the government, making public appearances for the city or town, responding to the media, writing press statements, maintaining press material, acting as a liaison between citizens and the government, writing newspaper articles or advertisements, maintaining social media, maintaining the city/town news letter, meeting with city representatives, drafting speeches for city officials, and keeping a professional demeanor. 
A public information officer should have expert professional communication skills, including public speaking and interpersonal communication. This person should be highly organized and dependable, be proficient with modern technology, possess expert organizational skills, and have high attention to detail. Ideally, this person his highly personable and outgoing and is capable of working professionally in high-stress environments
"
21,Social Media Manager,"Social media managers are responsible for facilitating social media tasks and communicating with customers and vendors to manage social media pages, profiles, and sites. They also use personal computers to write company statements and respond to questions, concerns, and inquiries.
Social media managers must be highly proficient with Microsoft Office applications for word processing, email management, spreadsheets, and presentations. They must have strong communication skills in order to lead teams of media professionals in achieving social media objectives within given time-frames. They must work well in a team environment with other managers to share information and social data to complete all project objectives under strict deadlines. However, they should also be able to work well independently with minimal supervision, as they must develop effective strategies for a variety of social media sites. They also implement marketing campaigns to increase brand recognition and customer loyalty. They often serve as voices and liaisons for their organizations, as well as supervise and approve creative content and research new marketing techniques. They should also also analyze initiative-performance and tweak programs as required.
Social media managers also participate in work meetings to suggest changes to community approaches and contribute novel ideas for future media endeavors. They often manage all electronic correspondence and track analytics, as well as send e-mail alerts to promote new content. Social media managers must be able to multitask with ease on a variety of projects and prioritize tasks depending on the company's needs. A bachelor's degree in marketing, communications, or a related field is generally required for this position, and prior experience in a media capacity is highly beneficial.
"
22, News Producer,"A news producer is in charge of supervising all aspects of a news broadcast. Most networks and local channels that broadcast news assign a different producer to each specific time of day; the tone or topics of news - as well as the preferences of the viewing or listening public - also changes depending on the time of day.
The producer assesses news stories that come in and prioritizes them for broadcast. The producer works with staff to ensure general agreement on the order in which stories will be aired, and then assigns staff as required to perform writing and pre-production work. The producer also assigns and assesses any special reports, which includes reviewing for coherence and newsworthiness.
During a newscast, the producer works with engineers and camera personnel (for television production) to direct as necessary and make any needed on-the-fly changes in the program. For radio news broadcasts, the producer typically makes sure that pre-recorded or remote audio transmissions are properly produced at correct sound levels and inserted into the newscast as needed.
News producers must be quick, organized, and agile thinkers. They must demonstrate a strong grasp of current events and be able to make quick decisions regarding the timing and airing of different news reports from various sources. A bachelor’s degree in communications or journalism is typically needed for a producer. They may need to work within a newsroom environment as a segment producer or writer before being considered for this upper-level position. Persons in this line of work usually work inside television or radio production studios. The hours required depend on the broadcast time frame the producer is assigned to, but many broadcasting companies air news (and need producers) around the clock, on weekends, and on holidays. 
"
23,Marketing Copywriter,"Marketing copywriter are tasked with writing a variety of advertisements, such as newspapers, magazines, and television commercials, to attract consumers to a business. These copywriters may use a variety of computer tools, such as graphic design and filming/editing video or music, and creative skills are necessary in this position to appeal to particular demographics and target markets.
Strong communication skills are important in this position to work well with various clients who may have creative differences, and these copywriters typically work on computers to create advertisements using various computer programs, such as Sony Vegas and Photoshop. A bachelor's degree in marketing or graphic design is generally required for this position, and some employers may require a certification in graphic design and several years of experience.
"
24,Public Relations (PR) Specialist,"A public relations (PR) specialist helps promote and elevate awareness of a company, brand, or individual. They also help ensure that awareness in the public eye remains positive. They work with a variety of media, from the the web to more traditional media outlets such as TV, radio, and newspapers. They coordinate with marketing teams on branding and promotion to ensure consistency.
Much of the PR specialist's work involves helping to execute marketing or advertising strategies. They may work with Internet content providers to advertise and promote organizations through social media, blogs, and other means. They work through local media to help publicize special events and other relevant news related to the entity they represent. In some cases, they also work to help defuse unfavorable situations by ensuring that a company’s message gets out and is received favorably. They often work with a corporate communications team to craft a message and then make sure that message informs everyone who give statements on behalf of the organization.
Much of the time, a public relations specialist works regular business hours; however that schedule can be frequently interrupted by the need to help promote evening events or the occurrence of negative situations requiring the specialist’s attention at all hours of the day.
A PR specialist must possess outstanding communication skills. The education requirements are normally a bachelor's degree in business or communication. Specialists also normally have at least three to five years of public relations experience.
"
25,"Promotions Producer, Television","TV promotions producers write and produce on-air promotions at television stations; this also includes spots for sales sponsorship. These promotions should be presented in a creative and attractive manner, and promotions producers are often expected to have some camera shooting experience in order to lead the shots for promotions or even shoot them personally. Editing skills are also important in order to optimize end results.
Promotions producers should be able to use software such as the Adobe Creative Suite, including Photoshop and After Effects, and they may also be responsible for choosing images, music, and motion graphics to entice viewers. The atmosphere may sometimes be fast-paced, and the producer may occasionally be expected to create promotional material within short periods of time.
It's important to be able to multi-task, meet deadlines, and work well in high-pressure situations in this position, and attention to detail and aesthetics are also important in order to create high-quality material. Marketing skills are highly beneficial for this position, and these producers may have minimum sales goals within given time-periods. Some weekend hours may be required, as broadcasting occurs every day, and strong teamwork skills are important in order to work with a variety of personnel in the industry.
"
26, Web Editor,"Web editors are responsible for all aspects of creating and maintaining Internet content for an organization's website. They typically manage or work with a team of content developers and writers, but they may edit and develop user generated content depending on the nature of the organization and their website. Web editors work with the writing team to brainstorm content ideas, and they write or assign stories and posts. Then, they review materials to ensure they meet website quality standards and submit it for web posting. On a broader scale, web editors help plan the future development of the website by suggesting changes, developing new topics for content generation, and establishing new methods of content delivery. They may create or acquire video, audio, photographs, apps, and other online content to effectively deliver their organization's message.
Web editors work in an office environment during regular business hours, although overtime may occasionally be necessary to meet deadlines. The bulk of their time is spent writing and editing other writers’ content, as well as researching content and working to develop ideas with others in the organization.
Web editors are generally required to hold a bachelor’s degree in communications, journalism, marketing, or a related field. In a managerial role, they are required to have experience in the field, in some cases 10 or more years. Associate web editors, who have fewer leadership responsibilities, may only be required to have two or more years’ experience. Web editors must also have excellent writing and copy-editing skills. 
"
27, Online Marketing Content Writer,"These days, almost all businesses need an online presence to keep up with the ever-changing marketing world. Potential customers are constantly online via phones and computers, and this is why the role of an online marketing content writer is so important. Potential customers must be able to find the websites of businesses and stay engaged with their content, and it is this writer's job to keep them interested and informed.
Search engine optimization (SEO) is a vital skill for online marketing content writers, as it is the method of driving traffic to a website using search engines like Google and Yahoo!. By including particular keywords in the website's content, the writer helps search engines to feature the site's webpages in search results when those keywords are searched. These writers should also have knowledge of HTML coding to format websites in ways that are visually appealing to target audiences. Excellent writing skills, of course, are of the utmost importance, and this includes impeccable grammar and excellent editing skills. They must also keep websites creative and engaging at all times.
A bachelor's degree in journalism, communications, or marketing and at least two years of experience in a writing/marketing position are generally required for this position. 
"
28,Marketing Communications Specialist,"A marketing communications specialist helps serve as the ""voice of the organization"" to the outside world, advancing the business’ interests and presenting it in the best possible light. Their duties include writing, developing and designing visuals, and creating presentations.
The specific tasks a marketing communications specialist performs depend on the size and nature of the business. Some businesses work with outside advertising agencies, while others have their own marketing department. In either case, the marketing communications specialist is involved in creating, editing, and producing materials to put the organizational marketing plan into action.
As the career of a marketing communications specialist advances, the day-to-day work the specialist performs progresses from the closely supervised production of clearly defined content to greater involvement in decisions on creation and implementation of the marketing plan.
An entry level marketing communications specialist typically has a bachelor’s degree and strong writing skills. As a member of the marketing department, a marketing communications specialist must excel at persuasive writing and be able to adhere to precise quality and style guidelines. A potential employer may also require proficiency with specific software programs. The specialist must be both creative and disciplined. The ability to work both individually and collaboratively is required, and meeting deadlines is essential, as the marketing plan typically has a detailed timetable with time-sensitive tasks
"
29,Communications Specialist,"A communications specialist manages a company's internal and external communications. Internal communications may include memos, job descriptions, and notes from management; external communications may include designing and editing press releases and marketing materials. Other responsibilities include coordinating media and marketing events, informal meetings for employees, and press conferences. They also answer inquiries and manage online content. Although communications specialists work in a business setting during regular business hours, overtime may be required to meet deadlines or deal with rapidly emerging or changing situations.
Communications specialists typically need a bachelor's degree in journalism, communications, marketing, or a related field. They must have experience with Microsoft Office software, and they may potentially need print and web design experience. They must be excellent communicators, able to organize and plan during crisis/urgent situations, and have excellent writing skills. 
"
30, News Reporter,"News reporters work for newspapers, local or national TV and radio stations, and for online news resources. When news reporters work in front of a camera, they are often referred to as ""newscasters."" Regardless of where they work, news reporters must motivated, articulate, willing to travel, be able to handle stressful situations well, and have a good judgement on how stories should be conveyed to the public no matter what industry they are in. News reporters work inside news studios, outdoors, and on location. For local or national news, they generally work with a co-anchor, other news reporters and behind the scenes people (camera operators, producers, etc). On-camera news reporters are pretty much always trained on teleprompter and microphone usage. In the newspaper and internet news sectors, news reporters work with editors for the section of the paper or website for which they write. In either case, news reporters generally work full-time (40 hours or more a week). News reporters generally need to have a bachelor's degree or equivalent experience in journalism or broadcast communications, very strong skills in reporting, journalism, and writing, a commitment to quality, good organization and time management skills, and an ability to work well under pressure and stress."
31,"Associate Producer, Film/TV","The associate producer for film and TV works closely with a producer to develop appropriate film and TV programming and formats; however, they may be required to work on more specific elements of a production than the producer. The position includes a wide range of responsibilities, including writing and creating content, communicating between supervisors and subordinates, coordinating between multiple departments, editing, and directing. On occasion, the associate producer may be required to create relevant content for social media outlets. As such, excellent communication skills are essential for this position. Associate producers for film and TV should be able to work well under pressure and be able to respond to a variety of problems rapidly and appropriately. As such, hours and shifts may vary.
A bachelor's degree in film, communications, or a related field is required for most associate producer positions. Typically, at least two to three years of experience is necessary for any applicant to an associate producer position. Associate producers may be required to operate equipment, so a working knowledge of media technologies and equipment is essential. The associate producer often works under pressure, so the ability to self-organize, self-motivate, and meet deadlines is also necessary. Writing skills are also important, as the associate producer may also be required to work as a script editor. 
"
32, Multimedia Specialist,"Multimedia specialists use creativity and technological skills to design a wide range of projects for audiences and target-markets. These projects range from web pages and videos to virtual gaming and much more.
Multimedia specialists must not only be innovative and able to devise original ideas, but also be able to bring these ideas to life. They must be able to work well with others to develop these ideas, as well as meet with clients to sign on new projects. They are also involved in making technological advances and using a variety of computer programs, such as Photoshop. Multimedia specialists can expect to work long hours, which can vary depending on the employer and how quickly deadlines can be met. It is not necessarily uncommon to struggle to meet deadlines or work with clients who may be difficult, unreasonable, or have bizarre requests.
While a bachelor's degree is generally required for this position, applicants with exceptional skills, knowledge, and a portfolio may also enjoy employment opportunities. Multimedia specialists must be able to handle multiple clients and remain patient when working with them, and clients may range from engineering firms and advertising agencies to simple retailers and local companies. Those in this position generally work indoors and on computers during traditional business hours.
"
33,Staff Writer,"Staff writers are usually hired by organizations that create some form of written media for customers or consumers. Typically, media outlets that report news in some field (such as technology, sports, and health care) employ one or more staff writers. Regular news outlets and magazines also often refer to reporters and story creators as staff writers as well.
Typically, a staff writer writes and formats assignments according to protocols established by their employer. For some staff writers on the web, this can involve some minor HTML formatting and other computer work. The stories may be original content assigned by an editor, ideas pitched by the writer, or even “pushed” material such as press releases. For most employers requiring web content, the staff writer may be expected to generate multiple stories of varying length daily. These stories must fit the voice of the employer or media organization. Some staff writers may be able to submit and publish directly, while others are expected to channel all work through a content department and editing process. 
To work as a staff writer, a person typically must show a strong educational background in written disciplines (such as a bachelor's degrees or more in journalism or English) and previous experience. In some specialized fields, employers typically prefer expertise within the subject matter. Staff writers' hours may vary depending on the needs of their employer, and they may work in an office, from home, and/or reporting in the field. 
"
